sentence1	sentence2	change_type	ambig_status
It’s not easy to wreck a nice beach.	It’s not easy to recognize speech.	original	1
It’s not easy to wreck a nice peach.	It’s not easy to recognize speech.	rhyme_1	1
It’s not easy to rec a nice beach.	It’s not easy to recognize speech.	rhyme_3	1
I saw a sea monster.	I saw a seam on stir.	original	1
She sells seashells by the seashore.	She sells sea shells buy the sea sure.	original	1
Whale meat again.	We'll meet again.	original	1
Whale meat again.	Wheel meet again.	rhyme_4	1
Whale meat again.	Wheel meet soon.	random_4	1
I saw a bear in the forest.	Eye sore a bare inn the for rest.	original	1
He took a nice cold shower after his date.	He took an ice cold shower after his date.	original	1
The stuffy nose is annoying.	The stuff he knows is annoying.	original	1
He couldn't wait to leave the mall.	He couldn't wait to leave them all.	original	1
I made her duck.	I’m eight or duck.	original	1
The good can decay many ways.	The good candy came anyways.	original 	1
She can't bear to lose the race.	She can't bear to lose their ace.	original 	1
He's a man of many talents.	He's a man of mini talents.	original 	1
I hurt myself with the four candles.	I hurt myself with the fork handles.	original 	1
I ordered pepperoni pizza.	I ordered pepper only pizza.	original 	1
They wanted to explore the ancient ruins.	They wanted to explore the agent's ruins.	original 	1
I love you	Aisle of view	original 	1
I love you	Aisle of few	rhyme_2	1
Caesar salad	Seize her salad	original 	1
